Country and Regions,Country and Regions Name,Country and Regions - RegionId,Indicators,Indicators Name,Scale,Units,1980
DJI,Djibouti,DJ,NE.CON.TETC.ZS,Final consumption expenditure  (% of GDP),units,Percentage of GDP,0
DJI,Djibouti,DJ,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),units,Percentage of GDP,0
DJI,Djibouti,DJ,NE.CON.PETC.ZS,Household final consumption expenditure  (% of GDP),units,Percentage of GDP,0
DJI,Djibouti,DJ,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),units,Percentage of GDP,0
DJI,Djibouti,DJ,NE.GDI.PVTE.ZS,"Gross capital formation, Private sector (% GDP)",units,Percentage of GDP,0
DJI,Djibouti,DJ,NE.GDI.PUB.ZS,"Gross capital formation, Public sector (% GDP)",units,Percentage of GDP,0
DJI,Djibouti,DJ,NE.EXPO.GNFS.ZS,Exports of goods and services (% of GDP),units,Percentage of GDP,0
DJI,Djibouti,DJ,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),units,Percentage of GDP,0
DJI,Djibouti,DJ,GC.BAL.CASH.GD.CD,"Central government, Fiscal Balance (Current US $)",millions,U.S. dollars,0
DJI,Djibouti,DJ,GC.REV.TOTL.GD.CD,"Central government, total revenue and grants  (Current US $)",millions,U.S. dollars,0
DJI,Djibouti,DJ,GC.XPN.TOTL.GD.CD,"Central government, total expenditure and net lending  (Current US $)",millions,U.S. dollars,0
DJI,Djibouti,DJ,GC.BAL.CASH.GD.ZS,"Central government, Fiscal Balance (% of GDP)",units,Percentage of GDP,0
DJI,Djibouti,DJ,GC.REV.TOTL.GD.ZS,"Central government, total revenue and grants  (% of GDP)",units,Percentage of GDP,0
DJI,Djibouti,DJ,GC.XPN.TOTL.GD.ZS,"Central government, total expenditure and net lending  (% of GDP)",units,Percentage of GDP,0
DJI,Djibouti,DJ,BG.CAB.CD,"Current account balance (Net, BoP, cur. US$)",millions,U.S. dollars,0
DJI,Djibouti,DJ,BG.WEO.ADB.CAB.GDP.ZS,Current account balance (As % of GDP),units,Percentage of GDP,0
DJI,Djibouti,DJ,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",units,percentage,0
EGY,Egypt,EG,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,0
EGY,Egypt,EG,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,0
EGY,Egypt,EG,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,"38530,54991"
EGY,Egypt,EG,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,"22371,4301"
EGY,Egypt,EG,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,"19438,33381"
EGY,Egypt,EG,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,"3590,13888"
EGY,Egypt,EG,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,"15848,19493"
EGY,Egypt,EG,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,"6304,166149"
EGY,Egypt,EG,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,"4171,524594"
EGY,Egypt,EG,NE.GDI.PUB.CD,"Gross capital formation, Public sector  (current US$)",millions,U.S. dollars,"2132,641556"
EGY,Egypt,EG,NE.EXPO.GNFS.CD,Exports of goods and services (current US$),millions,U.S. dollars,"6991,666211"
EGY,Egypt,EG,NE.IMP.GNFS.CD,Imports of goods and services (current US$),millions,U.S. dollars,"9821,666454"
EGY,Egypt,EG,NE.CON.TETC.ZS,Final consumption expenditure  (% of GDP),units,Percentage of GDP,"86,88909793"
EGY,Egypt,EG,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),units,Percentage of GDP,"16,04787385"
EGY,Egypt,EG,NE.CON.PETC.ZS,Household final consumption expenditure  (% of GDP),units,Percentage of GDP,"70,84122408"
EGY,Egypt,EG,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),units,Percentage of GDP,"28,17954025"
EGY,Egypt,EG,NE.GDI.PVTE.ZS,"Gross capital formation, Private sector (% GDP)",units,Percentage of GDP,"18,64666039"
EGY,Egypt,EG,NE.GDI.PUB.ZS,"Gross capital formation, Public sector (% GDP)",units,Percentage of GDP,"9,532879867"
EGY,Egypt,EG,NE.EXPO.GNFS.ZS,Exports of goods and services (% of GDP),units,Percentage of GDP,"31,25265654"
EGY,Egypt,EG,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),units,Percentage of GDP,"43,90272062"
EGY,Egypt,EG,GC.BAL.CASH.GD.CD,"Central government, Fiscal Balance (Current US $)",millions,U.S. dollars,"-2157,14288"
EGY,Egypt,EG,GC.REV.TOTL.GD.CD,"Central government, total revenue and grants  (Current US $)",millions,U.S. dollars,"3090,000205"
EGY,Egypt,EG,GC.XPN.TOTL.GD.CD,"Central government, total expenditure and net lending  (Current US $)",millions,U.S. dollars,"5247,143085"
EGY,Egypt,EG,GC.BAL.CASH.GD.ZS,"Central government, Fiscal Balance (% of GDP)",units,Percentage of GDP,"-9,642400468"
EGY,Egypt,EG,GC.REV.TOTL.GD.ZS,"Central government, total revenue and grants  (% of GDP)",units,Percentage of GDP,"13,81226051"
EGY,Egypt,EG,GC.XPN.TOTL.GD.ZS,"Central government, total expenditure and net lending  (% of GDP)",units,Percentage of GDP,"23,45466098"
EGY,Egypt,EG,BG.CAB.CD,"Current account balance (Net, BoP, cur. US$)",millions,U.S. dollars,"-193,2834753"
EGY,Egypt,EG,BG.WEO.ADB.CAB.GDP.ZS,Current account balance (As % of GDP),units,Percentage of GDP,"-0,863974607"
EGY,Egypt,EG,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",units,percentage,0
GNQ,Equatorial Guinea,GQ,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,0
GNQ,Equatorial Guinea,GQ,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,0
GNQ,Equatorial Guinea,GQ,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,"57,61509688"
GNQ,Equatorial Guinea,GQ,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,"25,47814393"
GNQ,Equatorial Guinea,GQ,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,"43,45830613"
GNQ,Equatorial Guinea,GQ,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,"18,65920708"
GNQ,Equatorial Guinea,GQ,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,"24,79909905"
GNQ,Equatorial Guinea,GQ,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,"11,2546454"
GNQ,Equatorial Guinea,GQ,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,"9,801949797"
GNQ,Equatorial Guinea,GQ,NE.GDI.PUB.CD,"Gross capital formation, Public sector  (current US$)",millions,U.S. dollars,"1,452695605"
GNQ,Equatorial Guinea,GQ,NE.EXPO.GNFS.CD,Exports of goods and services (current US$),millions,U.S. dollars,"13,005"
GNQ,Equatorial Guinea,GQ,NE.IMP.GNFS.CD,Imports of goods and services (current US$),millions,U.S. dollars,"36,21"
GNQ,Equatorial Guinea,GQ,NE.CON.TETC.ZS,Final consumption expenditure  (% of GDP),units,Percentage of GDP,"170,5709264"
GNQ,Equatorial Guinea,GQ,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),units,Percentage of GDP,"73,23613183"
GNQ,Equatorial Guinea,GQ,NE.CON.PETC.ZS,Household final consumption expenditure  (% of GDP),units,Percentage of GDP,"97,33479457"
GNQ,Equatorial Guinea,GQ,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),units,Percentage of GDP,"44,17372566"
GNQ,Equatorial Guinea,GQ,NE.GDI.PVTE.ZS,"Gross capital formation, Private sector (% GDP)",units,Percentage of GDP,"38,47199319"
GNQ,Equatorial Guinea,GQ,NE.GDI.PUB.ZS,"Gross capital formation, Public sector (% GDP)",units,Percentage of GDP,"5,701732468"
GNQ,Equatorial Guinea,GQ,NE.EXPO.GNFS.ZS,Exports of goods and services (% of GDP),units,Percentage of GDP,"51,04374964"
GNQ,Equatorial Guinea,GQ,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),units,Percentage of GDP,"142,1218127"
GNQ,Equatorial Guinea,GQ,GC.BAL.CASH.GD.CD,"Central government, Fiscal Balance (Current US $)",millions,U.S. dollars,"-4,141107365"
GNQ,Equatorial Guinea,GQ,GC.REV.TOTL.GD.CD,"Central government, total revenue and grants  (Current US $)",millions,U.S. dollars,"10,11165033"
GNQ,Equatorial Guinea,GQ,GC.XPN.TOTL.GD.CD,"Central government, total expenditure and net lending  (Current US $)",millions,U.S. dollars,"14,2527577"
GNQ,Equatorial Guinea,GQ,GC.BAL.CASH.GD.ZS,"Central government, Fiscal Balance (% of GDP)",units,Percentage of GDP,"-16,25356767"
GNQ,Equatorial Guinea,GQ,GC.REV.TOTL.GD.ZS,"Central government, total revenue and grants  (% of GDP)",units,Percentage of GDP,"39,68754694"
GNQ,Equatorial Guinea,GQ,GC.XPN.TOTL.GD.ZS,"Central government, total expenditure and net lending  (% of GDP)",units,Percentage of GDP,"55,94111462"
GNQ,Equatorial Guinea,GQ,BG.CAB.CD,"Current account balance (Net, BoP, cur. US$)",millions,U.S. dollars,"-20,5275"
GNQ,Equatorial Guinea,GQ,BG.WEO.ADB.CAB.GDP.ZS,Current account balance (As % of GDP),units,Percentage of GDP,"-80,5690558"
GNQ,Equatorial Guinea,GQ,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",units,percentage,0
ERI,Eritrea,ER,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,0
ERI,Eritrea,ER,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,0
ERI,Eritrea,ER,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,0
ERI,Eritrea,ER,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,0
ERI,Eritrea,ER,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,0
ERI,Eritrea,ER,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,0
ERI,Eritrea,ER,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,0
ERI,Eritrea,ER,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,0
ERI,Eritrea,ER,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,0
ERI,Eritrea,ER,NE.GDI.PUB.CD,"Gross capital formation, Public sector  (current US$)",millions,U.S. dollars,0
ERI,Eritrea,ER,NE.EXPO.GNFS.CD,Exports of goods and services (current US$),millions,U.S. dollars,0
ERI,Eritrea,ER,NE.IMP.GNFS.CD,Imports of goods and services (current US$),millions,U.S. dollars,0
ERI,Eritrea,ER,NE.CON.TETC.ZS,Final consumption expenditure  (% of GDP),units,Percentage of GDP,0
ERI,Eritrea,ER,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),units,Percentage of GDP,0
ERI,Eritrea,ER,NE.CON.PETC.ZS,Household final consumption expenditure  (% of GDP),units,Percentage of GDP,0
ERI,Eritrea,ER,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),units,Percentage of GDP,0
ERI,Eritrea,ER,NE.GDI.PVTE.ZS,"Gross capital formation, Private sector (% GDP)",units,Percentage of GDP,0
ERI,Eritrea,ER,NE.GDI.PUB.ZS,"Gross capital formation, Public sector (% GDP)",units,Percentage of GDP,0
ERI,Eritrea,ER,NE.EXPO.GNFS.ZS,Exports of goods and services (% of GDP),units,Percentage of GDP,0
ERI,Eritrea,ER,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),units,Percentage of GDP,0
ERI,Eritrea,ER,GC.BAL.CASH.GD.CD,"Central government, Fiscal Balance (Current US $)",millions,U.S. dollars,0
ERI,Eritrea,ER,GC.REV.TOTL.GD.CD,"Central government, total revenue and grants  (Current US $)",millions,U.S. dollars,0
ERI,Eritrea,ER,GC.XPN.TOTL.GD.CD,"Central government, total expenditure and net lending  (Current US $)",millions,U.S. dollars,0
ERI,Eritrea,ER,GC.BAL.CASH.GD.ZS,"Central government, Fiscal Balance (% of GDP)",units,Percentage of GDP,0
ERI,Eritrea,ER,GC.REV.TOTL.GD.ZS,"Central government, total revenue and grants  (% of GDP)",units,Percentage of GDP,0
ERI,Eritrea,ER,GC.XPN.TOTL.GD.ZS,"Central government, total expenditure and net lending  (% of GDP)",units,Percentage of GDP,0
ERI,Eritrea,ER,BG.CAB.CD,"Current account balance (Net, BoP, cur. US$)",millions,U.S. dollars,0
ERI,Eritrea,ER,BG.WEO.ADB.CAB.GDP.ZS,Current account balance (As % of GDP),units,Percentage of GDP,0
ERI,Eritrea,ER,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",units,percentage,0
SWZ,eSwatini,SZ,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,0
SWZ,eSwatini,SZ,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,0
SWZ,eSwatini,SZ,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,"507,2127694"
SWZ,eSwatini,SZ,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,"976,0996636"
SWZ,eSwatini,SZ,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,"535,4588528"
SWZ,eSwatini,SZ,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,"167,0668601"
SWZ,eSwatini,SZ,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,"368,3919927"
SWZ,eSwatini,SZ,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,"220,3418123"
SWZ,eSwatini,SZ,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,"86,7254826"
SWZ,eSwatini,SZ,NE.GDI.PUB.CD,"Gross capital formation, Public sector  (current US$)",millions,U.S. dollars,"133,6163297"
SWZ,eSwatini,SZ,NE.EXPO.GNFS.CD,Exports of goods and services (current US$),millions,U.S. dollars,"404,3452022"
SWZ,eSwatini,SZ,NE.IMP.GNFS.CD,Imports of goods and services (current US$),millions,U.S. dollars,"618,1383942"
SWZ,eSwatini,SZ,NE.CON.TETC.ZS,Final consumption expenditure  (% of GDP),units,Percentage of GDP,"54,8569857"
SWZ,eSwatini,SZ,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),units,Percentage of GDP,"17,1157584"
SWZ,eSwatini,SZ,NE.CON.PETC.ZS,Household final consumption expenditure  (% of GDP),units,Percentage of GDP,"37,7412273"
SWZ,eSwatini,SZ,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),units,Percentage of GDP,"22,57370026"
SWZ,eSwatini,SZ,NE.GDI.PVTE.ZS,"Gross capital formation, Private sector (% GDP)",units,Percentage of GDP,"8,884900368"
SWZ,eSwatini,SZ,NE.GDI.PUB.ZS,"Gross capital formation, Public sector (% GDP)",units,Percentage of GDP,"13,68879989"
SWZ,eSwatini,SZ,NE.EXPO.GNFS.ZS,Exports of goods and services (% of GDP),units,Percentage of GDP,"41,42458165"
SWZ,eSwatini,SZ,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),units,Percentage of GDP,"63,32738523"
SWZ,eSwatini,SZ,GC.BAL.CASH.GD.CD,"Central government, Fiscal Balance (Current US $)",millions,U.S. dollars,"34,77562431"
SWZ,eSwatini,SZ,GC.REV.TOTL.GD.CD,"Central government, total revenue and grants  (Current US $)",millions,U.S. dollars,"197,4826288"
SWZ,eSwatini,SZ,GC.XPN.TOTL.GD.CD,"Central government, total expenditure and net lending  (Current US $)",millions,U.S. dollars,"162,7070045"
SWZ,eSwatini,SZ,GC.BAL.CASH.GD.ZS,"Central government, Fiscal Balance (% of GDP)",units,Percentage of GDP,"3,562712457"
SWZ,eSwatini,SZ,GC.REV.TOTL.GD.ZS,"Central government, total revenue and grants  (% of GDP)",units,Percentage of GDP,"20,23180994"
SWZ,eSwatini,SZ,GC.XPN.TOTL.GD.ZS,"Central government, total expenditure and net lending  (% of GDP)",units,Percentage of GDP,"16,66909749"
SWZ,eSwatini,SZ,BG.CAB.CD,"Current account balance (Net, BoP, cur. US$)",millions,U.S. dollars,"-80,11819747"
SWZ,eSwatini,SZ,BG.WEO.ADB.CAB.GDP.ZS,Current account balance (As % of GDP),units,Percentage of GDP,"-8,207993554"
SWZ,eSwatini,SZ,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",units,percentage,0
ETH,Ethiopia,ET,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,0
ETH,Ethiopia,ET,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,0
ETH,Ethiopia,ET,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,"4961,079564"
ETH,Ethiopia,ET,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,"7254,8947"
ETH,Ethiopia,ET,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,"4359,971292"
ETH,Ethiopia,ET,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,"732,4309624"
ETH,Ethiopia,ET,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,"3627,54033"
ETH,Ethiopia,ET,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,"976,8746604"
ETH,Ethiopia,ET,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,0
ETH,Ethiopia,ET,NE.GDI.PUB.CD,"Gross capital formation, Public sector  (current US$)",millions,U.S. dollars,0
ETH,Ethiopia,ET,NE.EXPO.GNFS.CD,Exports of goods and services (current US$),millions,U.S. dollars,"591,4719978"
ETH,Ethiopia,ET,NE.IMP.GNFS.CD,Imports of goods and services (current US$),millions,U.S. dollars,"880,7912038"
ETH,Ethiopia,ET,NE.CON.TETC.ZS,Final consumption expenditure  (% of GDP),units,Percentage of GDP,"60,09696174"
ETH,Ethiopia,ET,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),units,Percentage of GDP,"10,09568013"
ETH,Ethiopia,ET,NE.CON.PETC.ZS,Household final consumption expenditure  (% of GDP),units,Percentage of GDP,"50,00128162"
ETH,Ethiopia,ET,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),units,Percentage of GDP,"13,46504258"
ETH,Ethiopia,ET,NE.GDI.PVTE.ZS,"Gross capital formation, Private sector (% GDP)",units,Percentage of GDP,0
ETH,Ethiopia,ET,NE.GDI.PUB.ZS,"Gross capital formation, Public sector (% GDP)",units,Percentage of GDP,0
ETH,Ethiopia,ET,NE.EXPO.GNFS.ZS,Exports of goods and services (% of GDP),units,Percentage of GDP,"8,152730292"
ETH,Ethiopia,ET,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),units,Percentage of GDP,"12,14064766"
ETH,Ethiopia,ET,GC.BAL.CASH.GD.CD,"Central government, Fiscal Balance (Current US $)",millions,U.S. dollars,"-188,2369322"
ETH,Ethiopia,ET,GC.REV.TOTL.GD.CD,"Central government, total revenue and grants  (Current US $)",millions,U.S. dollars,"802,9133798"
ETH,Ethiopia,ET,GC.XPN.TOTL.GD.CD,"Central government, total expenditure and net lending  (Current US $)",millions,U.S. dollars,"991,1503121"
ETH,Ethiopia,ET,GC.BAL.CASH.GD.ZS,"Central government, Fiscal Balance (% of GDP)",units,Percentage of GDP,"-2,594619771"
ETH,Ethiopia,ET,GC.REV.TOTL.GD.ZS,"Central government, total revenue and grants  (% of GDP)",units,Percentage of GDP,"11,0671955"
ETH,Ethiopia,ET,GC.XPN.TOTL.GD.ZS,"Central government, total expenditure and net lending  (% of GDP)",units,Percentage of GDP,"13,66181527"
ETH,Ethiopia,ET,BG.CAB.CD,"Current account balance (Net, BoP, cur. US$)",millions,U.S. dollars,"-172,7536232"
ETH,Ethiopia,ET,BG.WEO.ADB.CAB.GDP.ZS,Current account balance (As % of GDP),units,Percentage of GDP,"-2,381200973"
ETH,Ethiopia,ET,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",units,percentage,0
GAB,Gabon,GA,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,0
GAB,Gabon,GA,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,0
GAB,Gabon,GA,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,"3652,732545"
GAB,Gabon,GA,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,"4725,26604"
GAB,Gabon,GA,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,"1982,090615"
GAB,Gabon,GA,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,"557,6344188"
GAB,Gabon,GA,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,"1424,456196"
GAB,Gabon,GA,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,"1291,045059"
GAB,Gabon,GA,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,"1508,009484"
GAB,Gabon,GA,NE.GDI.PUB.CD,"Gross capital formation, Public sector  (current US$)",millions,U.S. dollars,"-216,9644251"
GAB,Gabon,GA,NE.EXPO.GNFS.CD,Exports of goods and services (current US$),millions,U.S. dollars,"2660,824025"
GAB,Gabon,GA,NE.IMP.GNFS.CD,Imports of goods and services (current US$),millions,U.S. dollars,"1348,102069"
GAB,Gabon,GA,NE.CON.TETC.ZS,Final consumption expenditure  (% of GDP),units,Percentage of GDP,"41,94664593"
GAB,Gabon,GA,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),units,Percentage of GDP,"11,80112218"
GAB,Gabon,GA,NE.CON.PETC.ZS,Household final consumption expenditure  (% of GDP),units,Percentage of GDP,"30,14552375"
GAB,Gabon,GA,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),units,Percentage of GDP,"27,32216658"
GAB,Gabon,GA,NE.GDI.PVTE.ZS,"Gross capital formation, Private sector (% GDP)",units,Percentage of GDP,"31,91374773"
GAB,Gabon,GA,NE.GDI.PUB.ZS,"Gross capital formation, Public sector (% GDP)",units,Percentage of GDP,"-4,591581157"
GAB,Gabon,GA,NE.EXPO.GNFS.ZS,Exports of goods and services (% of GDP),units,Percentage of GDP,"56,31056542"
GAB,Gabon,GA,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),units,Percentage of GDP,"28,52965436"
GAB,Gabon,GA,GC.BAL.CASH.GD.CD,"Central government, Fiscal Balance (Current US $)",millions,U.S. dollars,"350,611986"
GAB,Gabon,GA,GC.REV.TOTL.GD.CD,"Central government, total revenue and grants  (Current US $)",millions,U.S. dollars,"1620,573979"
GAB,Gabon,GA,GC.XPN.TOTL.GD.CD,"Central government, total expenditure and net lending  (Current US $)",millions,U.S. dollars,"1269,961993"
GAB,Gabon,GA,GC.BAL.CASH.GD.ZS,"Central government, Fiscal Balance (% of GDP)",units,Percentage of GDP,"7,419941714"
GAB,Gabon,GA,GC.REV.TOTL.GD.ZS,"Central government, total revenue and grants  (% of GDP)",units,Percentage of GDP,"34,29593096"
GAB,Gabon,GA,GC.XPN.TOTL.GD.ZS,"Central government, total expenditure and net lending  (% of GDP)",units,Percentage of GDP,"26,87598925"
GAB,Gabon,GA,BG.CAB.CD,"Current account balance (Net, BoP, cur. US$)",millions,U.S. dollars,"1286,427352"
GAB,Gabon,GA,BG.WEO.ADB.CAB.GDP.ZS,Current account balance (As % of GDP),units,Percentage of GDP,"27,22444285"
GAB,Gabon,GA,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",units,percentage,0
GMB,Gambia,GM,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,0
GMB,Gambia,GM,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,0
GMB,Gambia,GM,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,"198,5536889"
GMB,Gambia,GM,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,"364,4957888"
GMB,Gambia,GM,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,"227,0206417"
GMB,Gambia,GM,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,"75,24782391"
GMB,Gambia,GM,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,"151,7728178"
GMB,Gambia,GM,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,"64,35839115"
GMB,Gambia,GM,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,0
GMB,Gambia,GM,NE.GDI.PUB.CD,"Gross capital formation, Public sector  (current US$)",millions,U.S. dollars,0
GMB,Gambia,GM,NE.EXPO.GNFS.CD,Exports of goods and services (current US$),millions,U.S. dollars,"103,0299573"
GMB,Gambia,GM,NE.IMP.GNFS.CD,Imports of goods and services (current US$),millions,U.S. dollars,"153,3254588"
GMB,Gambia,GM,NE.CON.TETC.ZS,Final consumption expenditure  (% of GDP),units,Percentage of GDP,"62,28347452"
GMB,Gambia,GM,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),units,Percentage of GDP,"20,6443603"
GMB,Gambia,GM,NE.CON.PETC.ZS,Household final consumption expenditure  (% of GDP),units,Percentage of GDP,"41,63911422"
GMB,Gambia,GM,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),units,Percentage of GDP,"17,65682708"
GMB,Gambia,GM,NE.GDI.PVTE.ZS,"Gross capital formation, Private sector (% GDP)",units,Percentage of GDP,0
GMB,Gambia,GM,NE.GDI.PUB.ZS,"Gross capital formation, Public sector (% GDP)",units,Percentage of GDP,0
GMB,Gambia,GM,NE.EXPO.GNFS.ZS,Exports of goods and services (% of GDP),units,Percentage of GDP,"28,26643284"
GMB,Gambia,GM,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),units,Percentage of GDP,"42,06508374"
GMB,Gambia,GM,GC.BAL.CASH.GD.CD,"Central government, Fiscal Balance (Current US $)",millions,U.S. dollars,"-83,86624355"
GMB,Gambia,GM,GC.REV.TOTL.GD.CD,"Central government, total revenue and grants  (Current US $)",millions,U.S. dollars,"83,86624355"
GMB,Gambia,GM,GC.XPN.TOTL.GD.CD,"Central government, total expenditure and net lending  (Current US $)",millions,U.S. dollars,"167,7324871"
GMB,Gambia,GM,GC.BAL.CASH.GD.ZS,"Central government, Fiscal Balance (% of GDP)",units,Percentage of GDP,"-23,00883745"
GMB,Gambia,GM,GC.REV.TOTL.GD.ZS,"Central government, total revenue and grants  (% of GDP)",units,Percentage of GDP,"23,00883745"
GMB,Gambia,GM,GC.XPN.TOTL.GD.ZS,"Central government, total expenditure and net lending  (% of GDP)",units,Percentage of GDP,"46,0176749"
GMB,Gambia,GM,BG.CAB.CD,"Current account balance (Net, BoP, cur. US$)",millions,U.S. dollars,"-117,4484817"
